Manifest,Origin Lic.,Origin Facility,Origin Facility Type,Dest. Lic.,Destination Facility,Dest. Facility Type,Type,Created,Created by User,Received,Received by User,Package,State,Item,Item Category,Shipper Dollar Amount,Receiver Dollar Amount,Actual Ship'd,UoM,Actual Rcv'd,UoM,Count Ship'd,UoM,Count Rcv'd,UoM,Weight Ship'd,UoM,Weight Rcv'd,UoM
0000033485,404R-00017,GREEN CROSS COLORADO LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,3/13/2014 4:41:48 PM +00:00,Chad Wittman,3/14/2014 12:50:19 AM +00:00,Danielle Donaldson,1A4000312687491000000313,Accepted,Finished Rec Edipure product,Infused (edible),,,312.0000,ea,312.0000,ea,312.00000000,ea,312.00000000,ea,0.00000000,lb,0.00000000,lb
0000034913,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,3/15/2014 5:19:32 PM +00:00,Danielle Donaldson,3/15/2014 5:19:48 PM +00:00,Danielle Donaldson,1A40003126874A8000000004,Accepted,co2 nectar,Concentrate,,,43.5000,g,43.5000,g,0.00000000,ea,0.00000000,ea,0.09590108,lb,0.09590108,lb
0000035529,404R-00014,DR J's LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,3/17/2014 4:28:36 PM +00:00,Thomas Sterlacci,3/17/2014 7:37:51 PM +00:00,Danielle Donaldson,1A400031268748E000000154,Accepted,Infused Edibles,Infused (edible),,,870.0000,ea,870.0000,ea,870.00000000,ea,870.00000000,ea,0.00000000,lb,0.00000000,lb
0000037238,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,3/19/2014 4:30:00 PM +00:00,Danielle Donaldson,3/19/2014 4:30:15 PM +00:00,Danielle Donaldson,1A40003126874A8000000005,Accepted,co2 nectar,Concentrate,,,145.7500,g,145.7500,g,0.00000000,ea,0.00000000,ea,0.32132375,lb,0.32132375,lb
0000037536,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,3/19/2014 7:17:57 PM +00:00,Nicole Baker,3/19/2014 8:52:20 PM +00:00,Danielle Donaldson,1A4000312687490000000108,Accepted,EDIBLE,Infused (edible),,,185.0000,ea,185.0000,ea,185.00000000,ea,185.00000000,ea,0.00000000,lb,0.00000000,lb
0000043291,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,3/28/2014 1:25:31 AM +00:00,Danielle Donaldson,3/28/2014 1:25:52 AM +00:00,Danielle Donaldson,1A40003126874A8000000006,Accepted,co2 budder,Concentrate,,,164.5000,g,164.5000,g,0.00000000,ea,0.00000000,ea,0.36266042,lb,0.36266042,lb
0000043603,404R-00012,MEDICALLY CORRECT LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,3/28/2014 1:01:34 PM +00:00,Yvonne Pena,3/28/2014 9:26:17 PM +00:00,Danielle Donaldson,1A400031268748C000000065,Accepted,Parcel - incredibles bars shipped,Infused (edible),,,280.0000,ea,280.0000,ea,280.00000000,ea,280.00000000,ea,0.00000000,lb,0.00000000,lb
0000046567,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,4/2/2014 1:48:48 AM +00:00,Scott Hershberger,4/2/2014 10:51:19 PM +00:00,Danielle Donaldson,1A40003126874AA000001047,Accepted,0 - Infused Edible Canyon Cultivation Items,Infused (edible),,,261.0000,ea,261.0000,ea,261.00000000,ea,261.00000000,ea,0.00000000,lb,0.00000000,lb
0000047837,404R-00017,GREEN CROSS COLORADO LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,4/3/2014 4:31:10 PM +00:00,Brian Mosher,4/4/2014 12:33:33 AM +00:00,Danielle Donaldson,1A4000312687491000000469,Accepted,Finished Rec Edipure product,Infused (edible),,,384.0000,ea,384.0000,ea,384.00000000,ea,384.00000000,ea,0.00000000,lb,0.00000000,lb
0000048504,404R-00012,MEDICALLY CORRECT LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/4/2014 2:06:43 PM +00:00,Yvonne Pena,4/7/2014 7:22:41 PM +00:00,Danielle Donaldson,1A400031268748C000000091,Accepted,Parcel - incredibles bars shipped,Infused (edible),,,100.0000,ea,100.0000,ea,100.00000000,ea,100.00000000,ea,0.00000000,lb,0.00000000,lb
0000049164,404R-00017,GREEN CROSS COLORADO LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,4/4/2014 6:48:29 PM +00:00,Brian Mosher,4/4/2014 7:03:28 PM +00:00,Danielle Donaldson,1A4000312687491000000488,Accepted,Finished Rec Edipure product,Infused (edible),,,192.0000,ea,192.0000,ea,192.00000000,ea,192.00000000,ea,0.00000000,lb,0.00000000,lb
0000049256,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/4/2014 6:48:02 PM +00:00,Emily Medina Herrera,4/4/2014 8:43:08 PM +00:00,Danielle Donaldson,1A4000312687490000000141,Accepted,EDIBLE,Infused (edible),,,279.0000,ea,279.0000,ea,279.00000000,ea,279.00000000,ea,0.00000000,lb,0.00000000,lb
0000051685,404R-00009,NATURES HERBS & WELLNESS CENTER,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,4/8/2014 11:20:35 PM +00:00,Sean Carter,4/10/2014 1:46:18 AM +00:00,Danielle Donaldson,1A4000312687489000000169,Accepted,100 Mg Bulk Edible Order,Infused (edible),,,200.0000,ea,200.0000,ea,200.00000000,ea,200.00000000,ea,0.00000000,lb,0.00000000,lb
0000053597,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,4/10/2014 8:49:26 PM +00:00,Danielle Donaldson,4/10/2014 8:50:29 PM +00:00,Danielle Donaldson,1A40003126874A8000000007,Accepted,co2 nectar,Concentrate,,,45.5000,g,45.5000,g,0.00000000,ea,0.00000000,ea,0.10031033,lb,0.10031033,lb
0000057470,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/16/2014 8:35:02 PM +00:00,Nicole Baker,4/16/2014 10:26:29 PM +00:00,Danielle Donaldson,1A4000312687490000000171,Accepted,EDIBLE,Infused (edible),,,200.0000,ea,200.0000,ea,200.00000000,ea,200.00000000,ea,0.00000000,lb,0.00000000,lb
0000058089,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/17/2014 5:18:50 PM +00:00,Peter Martineac,4/20/2014 4:09:07 PM +00:00,Danielle Donaldson,1A40003126874AA000001098,Accepted,0 - Infused Edible Canyon Cultivation Items,Infused (edible),,,135.0000,ea,135.0000,ea,135.00000000,ea,135.00000000,ea,0.00000000,lb,0.00000000,lb
0000058181,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/17/2014 5:04:56 PM +00:00,Nathanael Mehle,4/18/2014 12:08:04 AM +00:00,Danielle Donaldson,1A40003126874A5000000491,Returned,The Growing Kitchen Natural Medicine Rec,Infused (non-edible),,,50.0000,ea,,,50.00000000,ea,0.00000000,ea,0.00000000,lb,0.00000000,lb
0000058181,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/17/2014 5:04:56 PM +00:00,Nathanael Mehle,4/18/2014 12:08:04 AM +00:00,Danielle Donaldson,1A40003126874A5000000492,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,400.0000,ea,400.0000,ea,400.00000000,ea,400.00000000,ea,0.00000000,lb,0.00000000,lb
0000058725,404R-00023,MAHATMA GANGA LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/17/2014 9:55:06 PM +00:00,Robert Poirier,4/19/2014 1:29:32 AM +00:00,Danielle Donaldson,1A4000312687497000001034,Accepted,CONCENTRATES,Infused (non-edible),,,77.0000,g,77.0000,g,0.00000000,ea,0.00000000,ea,0.16975594,lb,0.16975594,lb
0000058739,404R-00012,MEDICALLY CORRECT LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/17/2014 10:12:43 PM +00:00,Yvonne Pena,4/19/2014 1:40:07 AM +00:00,Danielle Donaldson,1A400031268748C000000204,Accepted,Parcel - incredibles bars shipped,Infused (edible),,,310.0000,ea,310.0000,ea,310.00000000,ea,310.00000000,ea,0.00000000,lb,0.00000000,lb
0000059301,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,4/18/2014 5:49:33 PM +00:00,Danielle Donaldson,4/18/2014 5:49:47 PM +00:00,Danielle Donaldson,1A40003126874A8000000008,Accepted,jet fuel,Concentrate,,,25.5000,g,25.5000,g,0.00000000,ea,0.00000000,ea,0.05621788,lb,0.05621788,lb
0000059302,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/18/2014 5:50:44 PM +00:00,Nathanael Mehle,4/19/2014 1:36:40 AM +00:00,Danielle Donaldson,1A40003126874A5000000488,Accepted,The Growing Kitchen Natural Medicine Rec,Infused (non-edible),,,50.0000,ea,50.0000,ea,50.00000000,ea,50.00000000,ea,0.00000000,lb,0.00000000,lb
0000061653,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,4/23/2014 4:41:18 PM +00:00,Danielle Donaldson,4/23/2014 4:42:16 PM +00:00,Danielle Donaldson,1A40003126874A8000000009,Accepted,co2 nectar,Concentrate,,,134.5000,g,134.5000,g,0.00000000,ea,0.00000000,ea,0.29652174,lb,0.29652174,lb
0000066392,404R-00023,MAHATMA GANGA LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,4/30/2014 9:14:57 PM +00:00,Robert Poirier,5/1/2014 4:45:57 PM +00:00,Danielle Donaldson,1A4000312687497000001058,Accepted,CONCENTRATES,Infused (non-edible),,,112.0000,g,112.0000,g,0.00000000,ea,0.00000000,ea,0.24691773,lb,0.24691773,lb
0000066915,404R-00049,JULIE CAMILLE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/1/2014 5:56:23 PM +00:00,Julie Berliner,5/2/2014 12:13:58 AM +00:00,Danielle Donaldson,1A40003126874B1000000058,Accepted,SGK Edibles,Infused (edible),,,150.0000,ea,150.0000,ea,150.00000000,ea,150.00000000,ea,0.00000000,lb,0.00000000,lb
0000067813,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/1/2014 11:05:37 PM +00:00,Erik Sproul,5/1/2014 11:13:03 PM +00:00,Danielle Donaldson,1A40003126874A5000000098,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,350.0000,ea,350.0000,ea,350.00000000,ea,350.00000000,ea,0.00000000,lb,0.00000000,lb
0000067931,404R-00025,VIRGINIAS KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/2/2014 5:29:56 PM +00:00,Andrew Schrot,5/2/2014 8:35:40 PM +00:00,Danielle Donaldson,1A4000312687499000000013,Accepted,BlueKudu Chocolate (Retail),Infused (edible),,,150.0000,ea,150.0000,ea,150.00000000,ea,150.00000000,ea,0.00000000,lb,0.00000000,lb
0000068300,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/3/2014 9:07:09 PM +00:00,Danielle Donaldson,5/3/2014 9:07:35 PM +00:00,Danielle Donaldson,1A40003126874A8000000010,Accepted,co2 nectar,Concentrate,,,37.5000,g,37.5000,g,0.00000000,ea,0.00000000,ea,0.08267335,lb,0.08267335,lb
0000069681,404R-00017,GREEN CROSS COLORADO LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/5/2014 7:16:07 PM +00:00,Brian Mosher,5/7/2014 10:16:56 PM +00:00,Danielle Donaldson,1A4000312687491000000738,Accepted,Finished Rec Edipure product,Infused (edible),,,312.0000,ea,312.0000,ea,312.00000000,ea,312.00000000,ea,0.00000000,lb,0.00000000,lb
0000069911,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/5/2014 9:35:59 PM +00:00,Danielle Donaldson,5/5/2014 9:36:36 PM +00:00,Danielle Donaldson,1A40003126874A8000000011,Accepted,co2 nectar,Concentrate,,,99.5000,g,99.5000,g,0.00000000,ea,0.00000000,ea,0.21935995,lb,0.21935995,lb
0000071285,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,5/7/2014 8:25:50 PM +00:00,Michael WEllington,5/7/2014 10:16:10 PM +00:00,Danielle Donaldson,1A40003126874A5000000138,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,230.0000,ea,230.0000,ea,230.00000000,ea,230.00000000,ea,0.00000000,lb,0.00000000,lb
0000072316,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/8/2014 8:46:44 PM +00:00,Danielle Donaldson,5/8/2014 8:47:06 PM +00:00,Danielle Donaldson,1A40003126874A8000000015,Accepted,co2 budder,Concentrate,,,84.0000,g,84.0000,g,0.00000000,ea,0.00000000,ea,0.18518830,lb,0.18518830,lb
0000072407,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/8/2014 9:27:18 PM +00:00,Danielle Donaldson,5/8/2014 9:27:32 PM +00:00,Danielle Donaldson,1A40003126874A8000000015,Accepted,co2 budder,Concentrate,,,116.0000,g,116.0000,g,0.00000000,ea,0.00000000,ea,0.25573622,lb,0.25573622,lb
0000072627,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,5/9/2014 2:41:56 AM +00:00,Peter Martineac,5/9/2014 11:57:41 PM +00:00,Danielle Donaldson,1A40003126874AA000000108,Accepted,0 - Infused Edible Canyon Cultivation Items,Infused (edible),,,275.0000,ea,275.0000,ea,275.00000000,ea,275.00000000,ea,0.00000000,lb,0.00000000,lb
0000074814,404R-00010,LEFT BANK LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/13/2014 6:48:56 PM +00:00,Curt Thompson,5/14/2014 11:04:35 PM +00:00,Danielle Donaldson,1A400031268748A000001125,Accepted,Delivery Package,Infused (edible),,,58.0000,ea,58.0000,ea,58.00000000,ea,58.00000000,ea,0.00000000,lb,0.00000000,lb
0000074898,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,5/14/2014 12:00:43 AM +00:00,Peter Martineac,,,1A40003126874AA000000090,Shipped,3122 - Extra Strength Pain Creme 2oz,Infused (non-edible),,,90.0000,ea,,,90.00000000,ea,0.00000000,ea,0.00000000,lb,0.00000000,lb
0000075686,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/14/2014 8:00:12 PM +00:00,Michael WEllington,5/14/2014 11:17:07 PM +00:00,Danielle Donaldson,1A40003126874A5000000165,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,300.0000,ea,300.0000,ea,300.00000000,ea,300.00000000,ea,0.00000000,lb,0.00000000,lb
0000075686,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/14/2014 8:00:12 PM +00:00,Michael WEllington,5/14/2014 11:17:07 PM +00:00,Danielle Donaldson,1A40003126874A5000000166,Accepted,The Growing Kitchen Natural Medicine Rec,Infused (non-edible),,,50.0000,ea,50.0000,ea,50.00000000,ea,50.00000000,ea,0.00000000,lb,0.00000000,lb
0000075880,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,5/14/2014 9:57:50 PM +00:00,Scott Hershberger,,,1A40003126874AA000001186,Shipped,0 - Infused Edible Canyon Cultivation Items,Infused (edible),,,125.0000,ea,,,125.00000000,ea,0.00000000,ea,0.00000000,lb,0.00000000,lb
0000076441,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,5/15/2014 5:10:45 PM +00:00,Scott Hershberger,5/15/2014 7:03:34 PM +00:00,Danielle Donaldson,1A40003126874AA000001187,Accepted,0 - Infused Edible Canyon Cultivation Items,Infused (edible),,,125.0000,ea,125.0000,ea,125.00000000,ea,125.00000000,ea,0.00000000,lb,0.00000000,lb
0000076938,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,5/15/2014 11:40:40 PM +00:00,Danielle Donaldson,5/15/2014 11:41:42 PM +00:00,Danielle Donaldson,1A40003126874A8000000016,Accepted,co2 nectar,Concentrate,,,33.0000,g,33.0000,g,0.00000000,ea,0.00000000,ea,0.07275255,lb,0.07275255,lb
0000077231,404R-00025,VIRGINIAS KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/16/2014 3:45:13 PM +00:00,Andrew Schrot,5/16/2014 10:21:54 PM +00:00,Danielle Donaldson,1A4000312687499000000059,Accepted,BlueKudu Chocolate (Retail),Infused (edible),,,300.0000,ea,300.0000,ea,300.00000000,ea,300.00000000,ea,0.00000000,lb,0.00000000,lb
0000077667,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/16/2014 10:12:53 PM +00:00,Erik Sproul,5/16/2014 11:39:05 PM +00:00,Danielle Donaldson,1A40003126874A5000000031,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,87.0000,ea,87.0000,ea,87.00000000,ea,87.00000000,ea,0.00000000,lb,0.00000000,lb
0000080050,404R-00049,JULIE CAMILLE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/21/2014 8:24:26 PM +00:00,Lauren Finesilver,5/22/2014 4:29:38 PM +00:00,Danielle Donaldson,1A40003126874B1000000132,Accepted,SGK Edibles,Infused (edible),,,144.0000,ea,144.0000,ea,144.00000000,ea,144.00000000,ea,0.00000000,lb,0.00000000,lb
0000080112,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/21/2014 5:49:58 PM +00:00,Michael WEllington,5/22/2014 4:29:29 PM +00:00,Danielle Donaldson,1A40003126874A5000000038,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,112.0000,ea,112.0000,ea,112.00000000,ea,112.00000000,ea,0.00000000,lb,0.00000000,lb
0000081248,404R-00014,DR J's LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/22/2014 8:28:45 PM +00:00,Megan Bialas,5/23/2014 10:19:13 PM +00:00,Danielle Donaldson,1A400031268748E000000176,Accepted,80 mg StarBarz,Infused (edible),,,120.0000,ea,120.0000,ea,120.00000000,ea,120.00000000,ea,0.00000000,lb,0.00000000,lb
0000081685,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/23/2014 5:09:03 PM +00:00,Michael WEllington,5/24/2014 12:57:46 AM +00:00,Danielle Donaldson,1A40003126874A5000000072,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,100.0000,ea,100.0000,ea,100.00000000,ea,100.00000000,ea,0.00000000,lb,0.00000000,lb
0000081860,404R-00023,MAHATMA GANGA LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/23/2014 7:18:36 PM +00:00,Robert Poirier,5/24/2014 12:57:54 AM +00:00,Danielle Donaldson,1A4000312687497000001103,Accepted,CONCENTRATES,Infused (non-edible),,,69.0000,g,69.0000,g,0.00000000,ea,0.00000000,ea,0.15211896,lb,0.15211896,lb
0000083270,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/26/2014 5:50:15 PM +00:00,Michael WEllington,5/26/2014 7:02:05 PM +00:00,Danielle Donaldson,1A40003126874A5000000077,Returned,The Growing Kitchen Infused Flower Rec,Concentrate,,,448.0000,g,,,0.00000000,ea,0.00000000,ea,0.98767093,lb,0.00000000,lb
0000083270,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/26/2014 5:50:15 PM +00:00,Michael WEllington,5/26/2014 7:02:05 PM +00:00,Danielle Donaldson,1A40003126874A5000000078,Returned,The Growing Kitchen Infused Flower Rec,Concentrate,,,448.0000,g,,,0.00000000,ea,0.00000000,ea,0.98767093,lb,0.00000000,lb
0000084652,404R-00037,THE GROWING KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/28/2014 4:29:16 PM +00:00,Michael WEllington,5/28/2014 11:15:31 PM +00:00,Danielle Donaldson,1A40003126874A5000000464,Accepted,The Growing Kitchen Organic Edible Rec,Infused (edible),,,170.0000,ea,170.0000,ea,170.00000000,ea,170.00000000,ea,0.00000000,lb,0.00000000,lb
0000085718,404R-00049,JULIE CAMILLE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/29/2014 4:34:16 PM +00:00,Lauren Finesilver,5/30/2014 1:08:20 AM +00:00,Danielle Donaldson,1A40003126874B1000000150,Accepted,SGK Edibles,Infused (edible),,,10.0000,ea,10.0000,ea,10.00000000,ea,10.00000000,ea,0.00000000,lb,0.00000000,lb
0000086331,404R-00014,DR J's LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,5/29/2014 10:05:17 PM +00:00,Megan Bialas,5/30/2014 1:08:28 AM +00:00,Danielle Donaldson,1A400031268748E000000180,Accepted,80 mg StarBarz,Infused (edible),,,62.0000,ea,62.0000,ea,62.00000000,ea,62.00000000,ea,0.00000000,lb,0.00000000,lb
0000088427,404R-00042,MILE HIGH DISTRIBUTING LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,InfusionTransfer,6/2/2014 8:32:17 PM +00:00,Peter Martineac,6/4/2014 9:36:56 PM +00:00,Danielle Donaldson,1A40003126874AA000000207,Accepted,0 - Infused Edible Canyon Cultivation Items,Infused (edible),,,229.0000,ea,229.0000,ea,229.00000000,ea,229.00000000,ea,0.00000000,lb,0.00000000,lb
0000089855,404R-00025,VIRGINIAS KITCHEN LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,6/4/2014 3:01:12 PM +00:00,Andrew Schrot,6/4/2014 9:37:09 PM +00:00,Danielle Donaldson,1A4000312687499000000216,Accepted,BlueKudu Chocolate (Retail),Infused (edible),,,225.0000,ea,225.0000,ea,225.00000000,ea,225.00000000,ea,0.00000000,lb,0.00000000,lb
