"ITEM_NO","DESCR","DESCR_UPR","LONG_DESCR","LONG_DESCR_UPR","SHORT_DESCR","ADDL_DESCR_1","ADDL_DESCR_2","ADDL_DESCR_3","ITEM_TYP","CATEG_COD","SUBCAT_COD","ACCT_COD","LBL_COD","ATTR_COD_1","ATTR_COD_2","ATTR_COD_3","ATTR_COD_4","ATTR_COD_5","ATTR_COD_6","TRK_METH","STAT","STAT_DAT","IS_TXBL","TAX_CATEG_COD","QTY_DECS","PRC_DECS","STK_UNIT","ITEM_VEND_NO","WEIGHT","TARE_COD","CUBE","IS_WEIGHED","ALT_1_UNIT","ALT_1_NUMER","ALT_1_DENOM","ALT_1_WEIGHT","ALT_1_CUBE","ALT_1_PRC_1","ALT_2_UNIT","ALT_2_NUMER","ALT_2_DENOM","ALT_2_WEIGHT","ALT_2_CUBE","ALT_2_PRC_1","ALT_3_UNIT","ALT_3_NUMER","ALT_3_DENOM","ALT_3_WEIGHT","ALT_3_CUBE","ALT_3_PRC_1","ALT_4_UNIT","ALT_4_NUMER","ALT_4_DENOM","ALT_4_WEIGHT","ALT_4_CUBE","ALT_4_PRC_1","ALT_5_UNIT","ALT_5_NUMER","ALT_5_DENOM","ALT_5_WEIGHT","ALT_5_CUBE","ALT_5_PRC_1","PREF_UNIT","PROMPT_FOR_PRC","PROMPT_FOR_COST","PROMPT_FOR_DESCR","WARR_PRD_1","WARR_UNIT_1","WARR_PRD_2","WARR_UNIT_2","SER_NO_REQ_FOR_SAL","SER_PROMPT_COD_1","SER_PROMPT_COD_2","SER_PROMPT_COD_3","PROF_ALPHA_1","PROF_ALPHA_2","PROF_ALPHA_3","PROF_ALPHA_4","PROF_ALPHA_5","PROF_COD_1","PROF_COD_2","PROF_COD_3","PROF_COD_4","PROF_COD_5","PROF_DAT_1","PROF_DAT_2","PROF_DAT_3","PROF_DAT_4","PROF_DAT_5","PROF_NO_1","PROF_NO_2","PROF_NO_3","PROF_NO_4","PROF_NO_5","GRID_DIM_1_TAG","GRID_DIM_2_TAG","GRID_DIM_3_TAG","GRID_DIM_1_TAG_UPR","GRID_DIM_2_TAG_UPR","GRID_DIM_3_TAG_UPR","GRID_ENT_1","GRID_ENT_2","GRID_ENT_3","CELL_BARCOD_PRE","NXT_CELL_BARCOD_NO","PRC_1","BARCOD","PS_PROMPT_COD_1","PS_PROMPT_COD_2","PS_PROMPT_COD_3","IS_ECOMM_ITEM","ECOMM_LST_PUB_DT","ECOMM_LST_PUB_STAT","ECOMM_ON_SPECL_UNTIL","ECOMM_IMG_FILE","ECOMM_TXBL_1","ECOMM_TXBL_2","ECOMM_TXBL_3","URL","ECOMM_NEW","ECOMM_NEW_UNTIL","ECOMM_ON_SPECL","ECOMM_CHRG_FRT","ECOMM_FRT_AMT","VEND_ITEM_NO","LST_COST","DFLT_COST_OF_SLS_PCT","REG_PRC","ALT_1_REG_PRC","ALT_2_REG_PRC","ALT_3_REG_PRC","ALT_4_REG_PRC","ALT_5_REG_PRC","ITEM_IS_MISC","CATEG_SUBCAT","PREF_UNIT_NAM","LST_RECV_DAT","PREF_UNIT_NUMER","PREF_UNIT_DENOM","ECOMM_ITEM_IS_DISCNTBL","IS_FOOD_STMP_ITEM","PROMPT_FOR_UNIT","PROMPT_FOR_CUSTOM_FLDS","MIX_MATCH_COD","PREF_UNIT_WEIGHT","PREF_UNIT_CUBE","PREF_UNIT_REG_PRC","PREF_UNIT_PRC_1","IS_ADM_TKT","DIM_COUNT","DIM_COD","DIM_COD_LABEL","IS_BOM_PAR","IS_KIT_PAR","COPY_FROM_ITEM_NO","BARCOD_3_OF_9","PS_LIN_CUST_FLD_FRM_ID","IS_DISCNTBL","ECOMM_DISC_ON_SAL","ECOMM_LST_CHNG_UTC_DT","ECOMM_NXT_PUB_TYP","ECOMM_PUB_STAT","RS_UTC_DT","RS_STAT","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS"
"I-001114","LA Chocolate 7g","LA CHOCOLATE 7G","LA Chocolate 7g","LA CHOCOLATE 7G","LA Chocolate 7g","","","","I","CANNIBIS","SPECIALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"1/4th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",7.1,7,,,,"","","","","","",,,,"",,75,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",25,,,,,,,,"N","CANNIBIS/SPECIALS","1/4th","4/6/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,75,"N",0,"","","N","N","","",,"Y","Y","","",,"4/25/2017 03:02:02.090 PM",0,"4/25/2017 09:02:47.000 AM","RACHEL","","0x00000000001A71DC"
"I-001115","LA Chocolate 3.5g","LA CHOCOLATE 3.5G","LA Chocolate 3.5g","LA CHOCOLATE 3.5G","LA Chocolate 3.","","","","I","CANNIBIS","SPECIALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"1/8th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",3.6,3.5,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","CANNIBIS/SPECIALS","1/8th","4/6/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"4/25/2017 03:02:11.103 PM",0,"4/25/2017 09:02:56.000 AM","RACHEL","","0x00000000001A71DD"
"I-001116","LA Chocolate 1g","LA CHOCOLATE 1G","LA Chocolate 1g","LA CHOCOLATE 1G","LA Chocolate 1g","","","","I","CANNIBIS","SPECIALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1.05,1,,,,"","","","","","",,,,"",,12,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.57,,,,,,,,"N","CANNIBIS/SPECIALS","GRAM","4/6/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,12,"N",0,"","","N","N","","",,"Y","Y","","",,"4/25/2017 03:02:21.970 PM",0,"4/25/2017 09:03:07.000 AM","RACHEL","","0x00000000001A71DE"
"I-001117","Bolder Platinum OG Wax","BOLDER PLATINUM OG WAX","Bolder Platinum OG Wax","BOLDER PLATINUM OG WAX","Bolder Platinum","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","CANNIBIS/CONC","GRAM","3/18/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"3/18/2017 03:51:01.350 PM",0,"2/22/2017 02:03:41.000 PM","RACHEL","","0x000000000016E79A"
"I-001118","Bolder Fusion Illusion Wax","BOLDER FUSION ILLUSION WAX","Bolder Fusion Illusion Wax","BOLDER FUSION ILLUSION WAX","Bolder Fusion I","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","CANNIBIS/CONC","GRAM","2/22/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"2/22/2017 09:15:06.487 PM",0,"2/22/2017 02:09:24.000 PM","RACHEL","","0x000000000014DB70"
"I-001119","Pre-Roll Trim Sativa Blend","PRE-ROLL TRIM SATIVA BLEND","Pre-Roll Trim Sativa Blend","PRE-ROLL TRIM SATIVA BLEND","Pre-Roll Trim","","","","I","CANNIBIS","PRE-ROLL","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1.2,,,,,"","","","","","",,,,"",,6,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",1.23,,,,,,,,"N","CANNIBIS/PRE-ROLL","GRAM","2/23/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,6,"N",0,"","","N","N","","",,"Y","Y","","",,"2/23/2017 03:11:01.193 PM",0,"2/23/2017 08:04:18.000 AM","MAX","","0x000000000014E73D"
"I-001120","Stardawg 7g","STARDAWG 7G","Stardawg 7g","STARDAWG 7G","Stardawg 7g","","","","I","CANNIBIS","FLOWER","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"1/4th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",7.1,7,,,,"","","","","","",,,,"",,110,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",26.56,,,,,,,,"N","CANNIBIS/FLOWER","1/4th","2/23/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,110,"N",0,"","","N","N","","",,"Y","Y","","",,"2/23/2017 10:04:47.340 PM",0,"2/23/2017 02:12:38.000 PM","CHECKERS","","0x000000000014EBAC"
"I-001121","Stardawg 3.5g","STARDAWG 3.5G","Stardawg 3.5g","STARDAWG 3.5G","Stardawg 3.5g","","","","I","CANNIBIS","FLOWER","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"1/8th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",3.6,3.5,,,,"","","","","","",,,,"",,60,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",13.28,,,,,,,,"N","CANNIBIS/FLOWER","1/8th","2/23/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,60,"N",0,"","","N","N","","",,"Y","Y","","",,"2/23/2017 10:03:22.447 PM",0,"2/23/2017 02:35:24.000 PM","CHECKERS","","0x000000000014EBAD"
"I-001122","Stardawg 1g","STARDAWG 1G","Stardawg 1g","STARDAWG 1G","Stardawg 1g","","","","I","CANNIBIS","FLOWER","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1.05,1,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.79,,,,,,,,"N","CANNIBIS/FLOWER","GRAM","2/23/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"2/23/2017 10:00:26.783 PM",0,"2/23/2017 02:36:16.000 PM","CHECKERS","","0x000000000014EB6A"
"I-001125","Grape Ape 1g","GRAPE APE 1G","Grape Ape 1g","GRAPE APE 1G","Grape Ape 1g","","","","I","CANNIBIS","SPECIALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1.05,1,,,,"","","","","","",,,,"",,12,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.13,,,,,,,,"N","CANNIBIS/SPECIALS","GRAM","2/24/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,12,"N",0,"","","N","N","","",,"Y","Y","","",,"3/29/2017 03:18:31.043 PM",0,"3/29/2017 09:19:11.000 AM","RACHEL","","0x0000000000180296"
"I-001126","Grape Ape 3.5g","GRAPE APE 3.5G","Grape Ape 3.5g","GRAPE APE 3.5G","Grape Ape 3.5g","","","","I","CANNIBIS","SPECIALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"1/8th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",3.6,3.5,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",10.94,,,,,,,,"N","CANNIBIS/SPECIALS","1/8th","2/24/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"3/29/2017 03:18:41.877 PM",0,"3/29/2017 09:19:21.000 AM","RACHEL","","0x0000000000180297"
"I-001127","Grape Ape  7g","GRAPE APE  7G","Grape Ape  7g","GRAPE APE  7G","Grape Ape  7g","","","","I","CANNIBIS","SPECIALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"1/4th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",7.1,7,,,,"","","","","","",,,,"",,75,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",21.88,,,,,,,,"N","CANNIBIS/SPECIALS","1/4th","2/24/2017 12:00:00.000 AM",1,1,"Y","N","N","N","GRAMS",,,,75,"N",0,"","","N","N","","",,"Y","Y","","",,"3/29/2017 03:18:52.520 PM",0,"3/29/2017 09:19:32.000 AM","RACHEL","","0x0000000000180298"
"I-001128","TR Concentrates Memory Loss","TR CONCENTRATES MEMORY LOSS","TR Concentrates Memory Loss","TR CONCENTRATES MEMORY LOSS","TR Concentrates","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",14,,,,,,,,"N","CANNIBIS/CONC","GRAM","",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"2/25/2017 06:30:44.027 PM",0,"2/25/2017 11:31:30.000 AM","RACHEL","","0x00000000001517C9"
"I-001129","TR Concentrates Lemon G13 Live","TR CONCENTRATES LEMON G13 LIVE","TR Concentrates Lemon G13 Live Resin","TR CONCENTRATES LEMON G13 LIVE RESIN","TR Concentrates","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,60,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",25,,,,,,,,"N","CANNIBIS/CONC","GRAM","3/14/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,60,"N",0,"","","N","N","","",,"Y","Y","","",,"3/14/2017 07:16:00.170 PM",0,"2/25/2017 11:33:11.000 AM","RACHEL","","0x0000000000168222"
"I-001130","Pre Roll Durban Poison","PRE ROLL DURBAN POISON","Pre Roll Durban Poison","PRE ROLL DURBAN POISON","Pre Roll Durban","","","","I","CANNIBIS","PRE-ROLL","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,10,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3,,,,,,,,"N","CANNIBIS/PRE-ROLL","GRAM","5/13/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,10,"N",0,"","","N","N","","",,"Y","Y","","",,"5/13/2017 06:20:29.317 PM",0,"2/25/2017 12:35:00.000 PM","RACHEL","","0x00000000001C6B3D"
"I-001131","Bolder Chem Kush Wax","BOLDER CHEM KUSH WAX","Bolder Chem Kush Wax","BOLDER CHEM KUSH WAX","Bolder Chem Kus","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","CANNIBIS/CONC","GRAM","2/27/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"2/27/2017 05:13:36.640 PM",0,"2/27/2017 10:09:57.000 AM","RACHEL","","0x00000000001540CD"
"I-001132","TR Concentrates Bubblegum","TR CONCENTRATES BUBBLEGUM","TR Concentrates Bubblegum Shatter","TR CONCENTRATES BUBBLEGUM SHATTER","TR Concentrates","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",14,,,,,,,,"N","CANNIBIS/CONC","GRAM","3/2/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"3/2/2017 04:39:27.953 PM",0,"2/27/2017 10:51:12.000 AM","RACHEL","","0x0000000000157211"
"I-001133","TR Concentrates Ultra Sonja","TR CONCENTRATES ULTRA SONJA","TR Concentrates Ultra Sonja Shatter","TR CONCENTRATES ULTRA SONJA SHATTER","TR Concentrates","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",13,,,,,,,,"N","CANNIBIS/CONC","GRAM","11/4/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"11/4/2017 05:54:09.650 PM",0,"2/27/2017 11:05:17.000 AM","RACHEL","","0x00000000002EEDE9"
"I-001134","Coda Truffles Serenade","CODA TRUFFLES SERENADE","Coda Truffles Serenade","CODA TRUFFLES SERENADE","Coda Truffles S","","","","I","CANNIBIS","EDIBLES","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",0.06,,,,,"","","","","","",,,,"",,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",10,,,,,,,,"N","CANNIBIS/EDIBLES","EACH","8/30/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",0,"","","N","N","","",,"Y","Y","","",,"8/30/2017 08:38:35.700 PM",0,"2/27/2017 11:50:07.000 AM","RACHEL","","0x0000000000285444"
"I-001135","Malibu Pure Kush 3.5g","MALIBU PURE KUSH 3.5G","Malibu Pure Kush 3.5g","MALIBU PURE KUSH 3.5G","Malibu Pure Kus","","","","I","CANNIBIS","FLOWER","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"1/8th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",3.6,3.5,,,,"","","","","","",,,,"",,60,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",13.28,,,,,,,,"N","CANNIBIS/FLOWER","1/8th","2/27/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,60,"N",0,"","","N","N","","",,"Y","Y","","",,"2/27/2017 10:44:53.543 PM",0,"2/27/2017 03:39:34.000 PM","RACHEL","","0x00000000001544BA"
"I-001136","Malibu Pure Kush 1g","MALIBU PURE KUSH 1G","Malibu Pure Kush 1g","MALIBU PURE KUSH 1G","Malibu Pure Kus","","","","I","CANNIBIS","FLOWER","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1.05,1,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.79,,,,,,,,"N","CANNIBIS/FLOWER","GRAM","2/27/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"2/27/2017 10:44:53.623 PM",0,"2/27/2017 03:40:11.000 PM","RACHEL","","0x00000000001544BB"
"I-001137","Malibu Pure Kush 7g","MALIBU PURE KUSH 7G","Malibu Pure Kush 7g","MALIBU PURE KUSH 7G","Malibu Pure Kus","","","","I","CANNIBIS","FLOWER","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"1/4th","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",7.1,7,,,,"","","","","","",,,,"",,110,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",26.56,,,,,,,,"N","CANNIBIS/FLOWER","1/4th","2/27/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,110,"N",0,"","","N","N","","",,"Y","Y","","",,"2/27/2017 10:44:53.690 PM",0,"2/27/2017 03:41:14.000 PM","RACHEL","","0x00000000001544BC"
"I-001138","Pre-Roll Rasberry Kush -flower","PRE-ROLL RASBERRY KUSH -FLOWER","Pre-Roll Rasberry Kush -flower","PRE-ROLL RASBERRY KUSH -FLOWER","Pre-Roll Rasber","","","","I","CANNIBIS","PRE-ROLL","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,4,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1.2,,,,,"","","","","","",,,,"",,10,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.5,,,,,,,,"N","CANNIBIS/PRE-ROLL","GRAM","3/2/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,10,"N",0,"","","N","N","","",,"Y","Y","","",,"3/2/2017 04:15:50.890 PM",0,"3/2/2017 09:13:08.000 AM","RACHEL","","0x00000000001571D5"
"I-001139","Quest Shatter Lemon Skunk","QUEST SHATTER LEMON SKUNK","Quest Shatter Lemon Skunk","QUEST SHATTER LEMON SKUNK","Quest Shatter L","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,50,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",17,,,,,,,,"N","CANNIBIS/CONC","GRAM","3/2/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,50,"N",0,"","","N","N","","",,"Y","Y","","",,"3/2/2017 05:25:26.197 PM",0,"3/2/2017 10:10:51.000 AM","RACHEL","","0x0000000000157319"
"I-001140","Quest Shatter Southwest Stomp","QUEST SHATTER SOUTHWEST STOMP","Quest Shatter Southwest Stomp","QUEST SHATTER SOUTHWEST STOMP","Quest Shatter S","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,50,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",17,,,,,,,,"N","CANNIBIS/CONC","GRAM","3/2/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,50,"N",0,"","","N","N","","",,"Y","Y","","",,"3/2/2017 05:25:25.940 PM",0,"3/2/2017 10:12:21.000 AM","RACHEL","","0x000000000015731A"
"I-001141","Quest Shatter Four Corners","QUEST SHATTER FOUR CORNERS","Quest Shatter Four Corners","QUEST SHATTER FOUR CORNERS","Quest Shatter F","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,50,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",17,,,,,,,,"N","CANNIBIS/CONC","GRAM","3/2/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,50,"N",0,"","","N","N","","",,"Y","Y","","",,"3/2/2017 05:25:26.027 PM",0,"3/2/2017 10:13:45.000 AM","RACHEL","","0x000000000015731B"
"I-001142","Quest Shatter Ogre Kush","QUEST SHATTER OGRE KUSH","Quest Shatter Ogre Kush","QUEST SHATTER OGRE KUSH","Quest Shatter O","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12,,,,,,,,"N","CANNIBIS/CONC","GRAM","4/12/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"4/20/2017 02:38:16.170 PM",0,"4/20/2017 08:39:01.000 AM","RACHEL","","0x000000000019F748"
"I-001143","Dixie Bath Soak","DIXIE BATH SOAK","Dixie Bath Soak","DIXIE BATH SOAK","Dixie Bath Soak","","","","I","CANNIBIS","TOPICALS","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",0.1,,,,,"","","","","","",,,,"",,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",10,,,,,,,,"N","CANNIBIS/TOPICALS","EACH","4/29/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",0,"","","N","N","","",,"Y","Y","","",,"4/29/2017 07:55:27.113 PM",0,"3/2/2017 02:10:08.000 PM","RACHEL","","0x00000000001B3CEC"
